Index,Graphite,"Carbon
black",CMC,SBR,Solvent,yield stress,n,K,viscosity
1,21.79,4.32,0.67,1.91,71.3,2.382508004,0.697734727,1.720149857,0.574912377
2,21.79,4.32,0.67,1.91,71.3,2.612817935,0.68878286,2.227785245,0.711619607
3,21.79,4.32,0.67,1.91,71.3,2.325877068,0.691858806,2.002497471,0.64637675
4,22.02,3.74,0.78,1.8,71.65,0.631733903,0.674009422,3.224384317,0.91337289
5,22.02,3.74,0.78,1.8,71.65,0.769600799,0.700991649,2.811996864,0.888380697
6,22.02,3.74,0.78,1.8,71.65,0.582309098,0.670859666,3.202710043,0.895373065
7,23.21,4.82,1.67,3.12,67.18,9.298581827,0.550408425,33.7851212,6.005434237
8,23.21,4.82,1.67,3.12,67.18,9.095189409,0.550465721,33.38385317,5.933537298
9,23.21,4.82,1.67,3.12,67.18,8.961511162,0.545481908,36.74602455,6.387888484
10,23.21,2.37,1.42,2.51,70.48,0.090598985,0.662581952,4.234807078,1.133092966
11,23.21,2.37,1.42,2.51,70.48,0.14623118,0.664833157,4.292072625,1.159645701
12,23.21,2.37,1.42,2.51,70.48,0.094148764,0.667647446,4.131624285,1.127689602
13,23.25,4.21,1.28,3.2,68.06,3.265191256,0.61466848,11.92321286,2.706049655
14,23.25,4.21,1.28,3.2,68.06,3.049646755,0.615247859,11.19175162,2.545359728
15,23.25,4.21,1.28,3.2,68.06,2.888946237,0.610112027,12.22664252,2.717886768
16,23.89,1.01,1.23,1.68,72.19,0,0.820687013,0.891563583,0.44208414
17,23.89,1.01,1.23,1.68,72.19,0,0.803702333,0.991371784,0.459973388
18,23.89,1.01,1.23,1.68,72.19,0,0.799961209,0.853880625,0.390424671
19,26.38,1.55,1.11,2.63,68.32,0.051514133,0.715849733,2.011429547,0.66285357
20,26.38,1.55,1.11,2.63,68.32,0.036575161,0.716896216,2.215493935,0.732688774
21,26.38,1.55,1.11,2.63,68.32,0.028403428,0.707146128,2.137909463,0.680459184
22,27.87,4.32,1.3,1.94,64.57,8.218700065,0.612868686,15.09821661,3.484856236
23,27.87,4.32,1.3,1.94,64.57,8.702164866,0.611582695,16.19729471,3.718364992
24,27.87,4.32,1.3,1.94,64.57,8.229251183,0.613865394,14.83735023,3.44044428
25,27.9,3.07,1.65,2.6,64.78,2.814450272,0.54650316,21.26756642,3.664070851
26,27.9,3.07,1.65,2.6,64.78,3.148003664,0.549365531,22.32094212,3.89207213
27,27.9,3.07,1.65,2.6,64.78,3.085464041,0.548485902,20.83145312,3.623026477
28,28.59,4.92,1.02,2.74,62.73,16.4253031,0.673345511,9.937913944,3.097481177
29,28.59,4.92,1.02,2.74,62.73,16.53218091,0.668236425,10.68152423,3.247915242
30,28.59,4.92,1.02,2.74,62.73,16.06163285,0.666598219,10.57109723,3.189901671
31,29.72,2.23,1.97,3.02,63.06,3.074283617,0.516040318,32.39451093,4.93944803
32,29.72,2.23,1.97,3.02,63.06,2.506702836,0.50073428,33.99366419,4.871393441
33,29.72,2.23,1.97,3.02,63.06,2.633225853,0.506592889,31.16288477,4.574906236
34,29.73,1.25,0.75,2.24,66.02,0.037562583,0.79127326,0.42943813,0.190544226
35,29.73,1.25,0.75,2.24,66.02,0.038847038,0.798228009,0.574010246,0.261461366
36,29.73,1.25,0.75,2.24,66.02,0.0297059,0.785259247,0.626214402,0.270918335
37,31.81,2.46,1.8,2.32,61.62,2.913406086,0.521770311,29.63090297,4.621231566
38,31.81,2.46,1.8,2.32,61.62,2.89935304,0.521954969,31.30406149,4.88208948
39,31.81,2.46,1.8,2.32,61.62,2.781930031,0.521084421,27.19430041,4.232159782
40,33.11,1.7,1.32,1.9,61.97,0.614550932,0.638898407,7.729366534,1.894392894
41,33.11,1.7,1.32,1.9,61.97,0.474072796,0.634566764,7.937547033,1.909799122
42,33.11,1.7,1.32,1.9,61.97,0.555668575,0.636961271,6.959731905,1.693015035
43,33.51,1.81,1.57,2.61,60.49,1.879658859,0.569589686,18.42608665,3.458796586
44,33.51,1.81,1.57,2.61,60.49,1.3048868,0.565457665,18.40276963,3.388183576
45,33.51,1.81,1.57,2.61,60.49,1.307094279,0.561862586,20.39827205,3.700750224
